"","height","sex","country","year","weight","bmi"
"1",137.91,"female","Eswatini",1880,48.78,25.65
"2",150.6,"female","Eswatini",1880,58.39,25.74
"3",165.73,"male","Eswatini",1880,57.33,20.87
"4",166.53,"male","Eswatini",1880,57.81,20.85
"5",179.86,"male","Eswatini",1880,65.93,20.38
"6",162.42,"male","Eswatini",1880,55.32,20.97
"7",164.48,"male","Eswatini",1880,56.56,20.91
"8",153.65,"female","Eswatini",1880,60.71,25.72
"9",160.2,"female","Eswatini",1880,65.67,25.59
"10",147.62,"female","Eswatini",1880,56.14,25.76
"11",155.23,"female","Eswatini",1880,61.9,25.69
"12",146.96,"female","Eswatini",1880,55.64,25.76
"13",166.39,"male","Eswatini",1880,57.73,20.85
"14",154.69,"female","Eswatini",1880,61.5,25.7
"15",161.6,"female","Eswatini",1880,66.74,25.56
"16",151.31,"female","Eswatini",1880,58.93,25.74
"17",168.2,"male","Eswatini",1880,58.83,20.79
"18",164.51,"female","Eswatini",1880,68.95,25.48
"19",166.33,"male","Eswatini",1880,57.69,20.85
"20",151.91,"female","Eswatini",1880,59.39,25.74
"21",164.14,"male","Eswatini",1880,56.36,20.92
"22",156.99,"male","Eswatini",1880,52.01,21.1
"23",153.24,"female","Eswatini",1880,60.4,25.72
"24",170,"male","Eswatini",1880,59.93,20.74
"25",166.7,"male","Eswatini",1880,57.92,20.84
"26",147.36,"female","Eswatini",1880,55.94,25.76
"27",150.35,"female","Eswatini",1880,58.21,25.75
"28",165.48,"male","Eswatini",1880,57.18,20.88
"29",151.24,"male","Eswatini",1880,48.51,21.21
"30",154.51,"male","Eswatini",1880,50.5,21.15
"31",160.58,"male","Eswatini",1880,54.19,21.02
"32",161.33,"male","Eswatini",1880,54.65,21
"33",139.66,"female","Eswatini",1880,50.1,25.69
"34",152.57,"female","Eswatini",1880,59.89,25.73
"35",161.7,"male","Eswatini",1880,54.88,20.99
"36",164.34,"male","Eswatini",1880,56.48,20.91
"37",166.03,"male","Eswatini",1880,57.51,20.86
"38",153.82,"female","Eswatini",1880,60.84,25.71
"39",146.52,"male","Eswatini",1880,45.63,21.25
"40",167.16,"male","Eswatini",1880,58.2,20.83
"41",159.4,"male","Eswatini",1880,53.48,21.05
"42",153.29,"female","Eswatini",1880,60.44,25.72
"43",144.58,"female","Eswatini",1880,53.83,25.75
"44",158.74,"male","Eswatini",1880,53.07,21.06
"45",156.06,"female","Eswatini",1880,62.53,25.67
"46",152.06,"male","Eswatini",1880,49,21.19
"47",149.5,"male","Eswatini",1880,47.45,21.23
"48",144.64,"female","Eswatini",1880,53.88,25.75
"49",154.87,"female","Eswatini",1880,61.63,25.7
"50",166.13,"male","Eswatini",1880,57.57,20.86
"51",170.03,"male","Eswatini",1880,59.94,20.73
"52",155.81,"female","Eswatini",1880,62.35,25.68
"53",164.24,"female","Eswatini",1880,68.74,25.48
"54",152.68,"female","Eswatini",1880,59.98,25.73
"55",163.34,"male","Eswatini",1880,55.87,20.94
"56",174.46,"male","Eswatini",1880,62.64,20.58
"57",162.02,"male","Eswatini",1880,55.07,20.98
"58",161.66,"male","Eswatini",1880,54.85,20.99
"59",163.85,"male","Eswatini",1880,56.18,20.93
"60",161.95,"male","Eswatini",1880,55.03,20.98
"61",147.99,"female","Eswatini",1880,56.42,25.76
"62",163.8,"male","Eswatini",1880,56.15,20.93
"63",164.1,"male","Eswatini",1880,56.34,20.92
"64",150.31,"female","Eswatini",1880,58.18,25.75
"65",166.38,"male","Eswatini",1880,57.72,20.85
"66",159.62,"female","Eswatini",1880,65.23,25.6
"67",156.4,"female","Eswatini",1880,62.79,25.67
"68",165.9,"male","Eswatini",1880,57.43,20.87
"69",160.14,"female","Eswatini",1880,65.63,25.59
"70",150.8,"female","Eswatini",1880,58.55,25.75
"71",179.78,"male","Eswatini",1880,65.88,20.38
"72",166.83,"male","Eswatini",1880,58,20.84
"73",166.04,"male","Eswatini",1880,57.51,20.86
"74",156.51,"female","Eswatini",1880,62.88,25.67
"75",150.47,"female","Eswatini",1880,58.29,25.75
"76",168.32,"male","Eswatini",1880,58.9,20.79
"77",142.64,"female","Eswatini",1880,52.37,25.74
